HU,Épica,Título,Dado,Cuando,Entonces (Resultado Esperado)
HU013,Recomendación,Simulación de escenarios,"Plan de producción recomendado generado","Usuario visualiza tab 📊 Stock y Diagnóstico","✅ Gráfico: Stock actual vs Stock con recomendación; Línea roja (sin cambios), verde (con recomendaciones), naranja (zona seguridad); Identifica semanas críticas"
HU014,Recomendación,Ajuste nivel de servicio,"Usuario puede ajustar z-score en sidebar","Usuario cambia Nivel Confianza 95%→99%","✅ Z-score: 1.65→2.33; Stock seguridad recalculado (+40%); Recomendaciones actualizadas automáticamente; Visualización refresca <1 seg"
HU015,Recomendación,Exportación plan 52 semanas,"1,040 recomendaciones calculadas (52×20)","Usuario clica Descargar Plan de Producción CSV","✅ Archivo plan_produccion_52semanas.csv; Columnas: Producto, Semana, Demanda_Predicha, Stock_Seguridad, Produccion_Recomendada; 1,040 filas; Descarga <2 seg; UTF-8"
HU016,Dashboard,Visualización serie histórica + pronóstico,"Dashboard Streamlit con datos cargados (puerto 8501)","Usuario abre tab 📊 Demanda y Componentes","✅ Gráfico Plotly <3 seg; 222 puntos históricos (azul) + 52 predichos (naranja) + banda gris 95%; Eje X semanas, Y volumen; Punto corte marcado"
HU017,Dashboard,Cambio de producto dropdown,"Dropdown 20 productos (CP_01-MZ_01)","Usuario selecciona CP_09","✅ Gráfico actualiza <500ms; Tabla: 52 filas CP_09; Estadísticas: Media=665.37, Std=282.89; Título muestra código y nombre"
HU018,Dashboard,Tabla detallada predicciones,"Producto seleccionado en dropdown","Usuario visualiza tabla en tab Comparador o Recomendación","✅ 52 filas (una/semana); Columnas: Semana, Predicción, Lower_95%, Upper_95%; Números 2 decimales; Scrolleable; Actualiza <1 seg"
HU019,Dashboard,Comparación múltiple productos,"Tab 📈 Análisis de Grupo disponible","Usuario selecciona CP_01, CP_09, CT_01","✅ Gráfico 3 líneas (colores distintos); Leyenda identifica c/línea; Escalas automáticas; Carga <2 seg"
HU020,Dashboard,Filtro por rango fechas,"Slider rango temporal en sidebar","Usuario ajusta inicio=2026-W09, fin=2026-W22 (Q2)","✅ Gráfico zoomed 14 semanas; Tabla filtrada 14 filas; Actualización <500ms"
HU021,Dashboard,Cambio de idioma,"Dashboard en español","Usuario selecciona English en selector idioma","✅ Labels traducidos: 'Demanda y Componentes'→'Demand & Components'; Botones:'Descargar'→'Download'; Tooltips traducidos; Sesión guarda idioma"
HU022,Dashboard,Descarga de gráficos,"Gráfico Plotly visible en pantalla","Usuario clica ícono 📥 Descargar en toolbar Plotly","✅ PNG 1200×800px alta resolución; Título incluido; Ejes etiquetados; Descarga como predicciones_[producto]_[fecha].png"
HU023,API,Endpoint GET predicciones 52 semanas,"API Flask localhost:5000 iniciada","Cliente realiza GET /api/v1/forecasting/52weeks/CP_01","✅ Status 200 OK; JSON: producto, predicciones (52 valores), fechas_prediccion, intervalo_confianza_95_pct; Respuesta <500ms"
HU024,API,Endpoint GET todos los productos,"API operativa","Cliente realiza GET /api/v1/forecasting/all-products","✅ Status 200 OK; Array 20 productos; Cada uno: codigo, prediccion_media, std, min, max, tendencia_52sem; Respuesta <1 seg"
HU025,API,Endpoint GET detalle completo,"API operativa","Cliente realiza GET /api/v1/forecasting/product/CP_01/detailed","✅ Status 200 OK; Response: predicciones, fechas, intervalos, estadísticas; Estructura completa para gráficos"
HU026,API,Análisis impacto económico,"API operativa, datos estadísticos disponibles","Cliente realiza GET /api/v1/benchmarking/economic-impact","✅ Status 200 OK; Análisis/producto: ganancia_total_historica, margen_promedio_pct, rotacion_inventario, potencial_ahorro_anual, roi_proyectado_pct; Resumen total ahorros"
HU027,API,Documentación Swagger,"API ejecutando localhost:5000","Usuario accede http://localhost:5000/api/docs","✅ Swagger UI carga <2 seg; 5+ endpoints documentados; Métodos GET/POST; Botón Try it out funcional; Ejemplos request/response"
HU028,API,Validación autenticación API,"Sistema autenticación JWT configurado","Cliente sin token: GET /api/v1/forecasting/all-products","✅ Status 401 Unauthorized; Response: {error: Token requerido}; Con token válido: Status 200 OK; Datos normales"
HU029,Económico,Cálculo impacto inventario,"Recomendaciones calculadas 52 semanas","Dashboard ejecuta análisis 💰 Impacto Económico","✅ Muestra: Inv Promedio Actual [valor], Inv Recomendado [optimizado], Reducción %, Semanas Cobertura Actual vs Recomendado"
HU030,Económico,Conversión a valor monetario,"Reducción inventario calculada","Sistema aplica costo unitario/producto","✅ Ahorro Semanal = Reducción×Costo; Ahorro Mensual y Anual proyectados; Moneda S/.; Display S/. XX,XXX con decimales"
HU031,Económico,Comparativa KPIs escenarios,"Datos escenario actual y optimizado","Usuario visualiza Comparativa de Escenarios","✅ Tabla 2 columnas: Actual | Recomendado; Filas: Rotación Inv, Días Cobertura, Ahorro Anual, ROI; Destacado: mejora % c/métrica"
HU032,Económico,Gráfico ahorro acumulado mensual,"Proyecciones 12 meses","Usuario visualiza tab Análisis de Impacto","✅ Gráfico línea: Mes 1...12; Eje Y ahorro acumulado S/.; Curva ascendente suave; Línea punteada proyección continuidad"
HU033,Económico,Exportación resumen ejecutivo,"Análisis económico completado","Usuario clica Descargar Resumen PDF","✅ PDF 4-5 páginas; Incluye: Portada, Resumen Ejecutivo, Gráficos, Tabla Comparativa; Fecha generación; Nombre PREDICAST_Resumen_Ejecutivo_[fecha].pdf; <5MB"
HU034,Documentación,Manual Usuario completado,"Sistema PREDICAST operativo","Se revisa Manual_de_Usuario_PREDICAST_v4.0.docx","✅ Contiene: Portada+versión, TOC, 1.Intro (problema+solución), 2.Login, 3.Interfaz principal, 4.Uso c/sección paso a paso+screenshots, 5.Interpretación recomendaciones, 6.Exportación, 7.Troubleshooting; 25-30 páginas con imágenes"
HU035,Documentación,Manual Técnico completado,"Sistema en producción","Se revisa Manual_Tecnico_PREDICAST_v4.0.docx","✅ Contiene: Diagrama arqui (Front-Back-DB-ML), Stack (Streamlit, Flask, XGBoost, ARIMA), Carpetas, Endpoints API, Modelos ML ubicación/carga, DB esquema ERD, Logs/monitoreo, Deployment, Troubleshooting técnico; 15-20 páginas"
HU036,Documentación,Presentación capacitación,"Equipo planificación disponible (8-15 personas)","Se ejecuta sesión capacitación vivo (1.5 horas)","✅ 30-40 slides: 1-5 Contexto+Problema, 6-10 Solución, 11-15 ML no-técnico, 16-25 Demo VIVO 5min, 26-30 Interpretación casos reales, 31-35 Impacto económico, 36-40 Próximos+QA; Survey final >=95% entiende valor"
HU037,Documentación,Plan Migración definido,"PREDICAST v4 listo deployment","Se revisa Plan_Migracion_PREDICAST.docx","✅ Fases: 1.PILOTO (Sem 1-2: 5 productos test), 2.AMPLIACIÓN (Sem 3-4: 20 productos validación), 3.PRODUCCIÓN (Sem 5: todos live); Cada fase: objetivos, recursos, riesgos, rollback; Cronograma+responsables; KPIs éxito"
HU038,Documentación,Procedimiento mantenimiento,"Sistema en producción operando","Se revisa Procedimiento_Mantenimiento_PREDICAST.docx","✅ Incluye: Checklist Semanal (validar pred vs reales), Mensual (auditoría datos, outliers), Trimestral (retrain), Monitoreo (uptime>99%, respuesta<500ms), Backups frecuencia, Escalamiento criterios, Bugs proceso"
HU039,Documentación,Roadmap evolución futura,"PREDICAST v1 operativa","Se revisa Roadmap_PREDICAST_2026_2027.docx","✅ Por trimestres: Q2 2026 (v1.1 Análisis ABC), Q3 2026 (v1.2 Dashboards+reportes), Q4 2026 (v2.0 Retrain automático+alertas), Q1 2027 (v2.1 ERP+API ext); C/release: features, recursos, ROI; Dependencias; Timeline realista"
